U3_Fault_Section				U3 Average Slip Rates (mm/yr)								U3 Average Aseismicity Factors								U3 Average Coupling Coefficient								U2 Fault Section			U2 Slip Rate (mm/yr)						U3 Creep	
U3_Section_Name	U3 Sect ID	Length (km)	Orig Area (km-sq)	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	U2 Section Name	Length (km)	Orig Area (km-sq)	DM2pt1	DM2pt2	DM2pt3	DM2pt4	DM2pt5	DM2pt6	Aseis	coupCoeff
Elsinore_(Stepovers_Combined)	402	11.79	161.57	4.53E+00	1.66E+00	5.00E+00	3.56E+00	4.55E+00	2.01E+00	5.00E+00	3.56E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Elsinore (Stepovers Combined)	11.79	161.57	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	0.00	1.00
Elsinore_(Temecula)_rev	299	40.00	568.05	4.83E+00	3.93E+00	5.00E+00	3.26E+00	4.84E+00	4.00E+00	5.00E+00	3.26E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Elsinore (Temecula) rev	40.00	568.05	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	0.00	1.00
Elysian_Park_(Lower_CFM)	196	41.51	520.81	3.16E-02	1.34E-01	1.00E-02	2.28E-02	2.24E-02	1.21E-01	1.00E-02	2.28E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Elysian_Park_(Upper)	146	20.17	315.97	1.83E+00	1.80E+00	1.90E+00	1.76E+00	1.86E+00	1.83E+00	1.90E+00	1.76E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Elysian Park (Upper)	20.17	315.97	1.30E+00	1.30E+00	1.30E+00	1.30E+00	1.30E+00	1.30E+00	0.00	1.00
Emerson-Copper_Mtn_2011	90	72.37	1020.36	5.85E-01	3.63E+00	3.90E-01	9.25E-01	5.35E-01	3.63E+00	3.90E-01	9.25E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	So Emerson-Copper Mtn	54.07	762.42	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	0.00	1.00
Eureka_Peak	95	18.86	282.96	5.35E-01	6.06E+00	3.90E-01	4.72E-01	4.93E-01	6.16E+00	3.90E-01	4.72E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Eureka Peak	18.86	282.96	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	0.00	1.00
Fickle_Hill_(alt1)	20	32.14	728.55	6.96E-01	5.89E-01	6.00E-01	5.28E-01	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	Fickle Hill	32.14	728.55	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	0.00	1.00
Fish_Slough_2011_CFM	698	29.47	544.51	1.99E-01	6.90E-01	2.00E-01	2.03E-01	2.02E-01	8.70E-01	2.00E-01	2.03E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Fish Slough	25.99	441.03	2.00E-01	2.00E-01	2.00E-01	2.00E-01	2.00E-01	2.00E-01	0.00	1.00
Fitzhugh_Creek	893	45.74	507.56	1.00E-02	2.82E-01	1.00E-02	1.32E-03	1.00E-02	2.72E-01	1.00E-02	1.32E-03	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Fontana_(Seismicity)	204	23.90	395.54	4.11E-01	2.50E-01	3.90E-01	3.82E-01	4.11E-01	4.40E-02	3.90E-01	3.82E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Franklin_2011_CFM	634	38.03	501.96	1.00E-02	2.92E+00	1.00E-02	3.66E+00	1.00E-02	3.19E+00	1.00E-02	3.66E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Garberville_-_Briceland_2011_CFM	699	60.15	1491.72	2.08E+00	2.60E+00	2.60E+00	1.15E+01	2.25E+00	2.62E+00	2.60E+00	1.15E+01	0.40	0.40	0.40	0.40	0.40	0.40	0.40	0.40	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Garlic_Springs	159	13.67	173.58	2.00E-02	2.20E+00	1.00E-02	3.68E-03	1.00E-02	2.10E+00	1.00E-02	3.68E-03	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Garlock_(Central)	341	111.05	1277.11	7.52E+00	5.60E+00	7.00E+00	4.11E+00	7.49E+00	5.58E+00	7.00E+00	4.11E+00	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Garlock (Central)	111.05	1277.11	7.00E+00	7.00E+00	7.00E+00	7.00E+00	7.00E+00	7.00E+00	0.00	1.00
Garlock_(East)	48	45.19	519.65	4.87E+00	1.18E+00	3.00E+00	6.78E-01	5.25E+00	1.17E+00	3.00E+00	6.78E-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Garlock (East)	45.19	519.65	3.00E+00	3.00E+00	3.00E+00	3.00E+00	3.00E+00	3.00E+00	0.00	1.00
Garlock_(West)	49	97.65	1435.47	1.68E+00	5.74E+00	6.68E+00	4.39E+00	1.62E+00	5.68E+00	6.68E+00	4.39E+00	0.37	0.05	0.05	0.07	0.37	0.05	0.05	0.07	0.89	1.00	1.00	1.00	0.89	1.00	1.00	1.00	Garlock (West)	97.65	1435.47	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	0.10	1.00
Gillem_-_Big_Crack_2011_CFM	700	35.54	398.11	3.38E-01	3.19E-01	4.00E-01	3.93E-01	3.48E-01	3.19E-01	4.00E-01	3.93E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Gillem-Big Crack	32.52	413.09	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	0.00	1.00
Goldstone_Lake	160	34.74	430.77	2.24E-02	3.32E+00	1.00E-02	2.72E-02	2.00E-02	3.27E+00	1.00E-02	2.72E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Goose_Lake_2011_CFM	701	62.75	628.95	1.00E-01	9.20E-02	1.00E-02	1.26E-02	1.00E-01	9.10E-02	1.00E-02	1.26E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Gravel_Hills-Harper_Lk	86	65.13	742.52	9.71E-01	8.70E-01	7.00E-01	2.28E+00	8.82E-01	1.10E+00	7.00E-01	2.28E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Gravel Hills-Harper Lk	65.13	742.52	7.00E-01	7.00E-01	7.00E-01	7.00E-01	7.00E-01	7.00E-01	0.00	1.00
Great_Valley_01	131	43.71	439.11	1.00E-01	5.90E-02	1.00E-02	8.68E-02	1.00E-01	1.36E-01	1.00E-02	8.68E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 1	43.71	439.11	1.00E-01	1.00E-01	1.00E-01	1.00E-01	1.00E-01	1.00E-01	0.00	1.00
Great_Valley_02	133	21.90	219.98	1.00E-01	2.02E-01	1.00E-02	8.68E-02	1.00E-01	2.87E-01	1.00E-02	8.68E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 2	21.90	219.98	1.00E-01	1.00E-01	1.00E-01	1.00E-01	1.00E-01	1.00E-01	0.00	1.00
Great_Valley_03_Mysterious_Ridge	132	51.44	752.05	1.45E+00	2.00E+00	1.30E+00	2.99E-01	1.45E+00	1.91E+00	1.30E+00	2.99E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	"Great Valley 3, Mysterious Ridge"	51.44	752.05	1.25E+00	1.25E+00	1.25E+00	1.25E+00	1.25E+00	1.25E+00	0.00	1.00
Great_Valley_03a_Dunnigan_Hills	383	27.37	240.04	2.00E-01	2.57E-01	6.00E-01	6.32E-01	2.00E-01	2.46E-01	6.00E-01	6.32E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Great_Valley_04a_Trout_Creek	134	19.19	280.49	1.28E+00	1.68E+00	1.30E+00	2.85E-01	1.32E+00	1.60E+00	1.30E+00	2.85E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	"Great Valley 4a, Trout Creek"	19.19	280.49	1.25E+00	1.25E+00	1.25E+00	1.25E+00	1.25E+00	1.25E+00	0.00	1.00
Great_Valley_04b_Gordon_Valley	381	28.48	416.41	1.38E+00	5.51E-01	1.30E+00	5.94E-01	1.38E+00	4.42E-01	1.30E+00	5.94E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	"Great Valley 4b, Gordon Valley"	28.48	416.41	1.25E+00	1.25E+00	1.25E+00	1.25E+00	1.25E+00	1.25E+00	0.00	1.00
Great_Valley_05_Pittsburg_-_Kirby_Hills_alt1	717	21.06	277.68	1.48E+00	2.51E-01	1.80E+00	1.22E+00	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	"Great Valley 5, Pittsburg Kirby Hills"	31.92	319.23	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	0.00	1.00
Great_Valley_06_(Midland)_2011_CFM_alt1	645	68.71	1315.36	4.62E-01	1.37E-01	4.00E-01	3.70E-01	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Great_Valley_07_(Orestimba)	136	65.88	500.80	8.85E-01	6.40E-02	9.00E-01	4.28E-01	8.94E-01	4.90E-02	9.00E-01	4.28E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 7	44.61	448.17	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Great_Valley_08_(Quinto)	137	19.39	275.22	5.28E-01	9.80E-02	5.00E-01	3.00E-01	5.28E-01	5.30E-02	5.00E-01	3.00E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 8	40.82	410.04	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Great_Valley_09_(Laguna_Seca)	151	39.01	239.97	1.74E+00	2.20E+00	1.70E+00	1.74E+00	1.75E+00	1.80E+00	1.70E+00	1.74E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 9	39.01	391.83	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Great_Valley_10_(Panoche)	138	21.58	216.77	1.01E+00	1.54E+00	1.00E+00	1.08E+00	1.02E+00	1.46E+00	1.00E+00	1.08E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 10	21.58	216.77	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Great_Valley_11	139	24.48	245.96	9.30E-01	2.73E+00	1.00E+00	2.92E+00	9.56E-01	2.72E+00	1.00E+00	2.92E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 11	24.48	245.96	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Great_Valley_12	140	17.45	175.34	9.26E-01	1.32E-01	1.00E+00	2.84E+00	9.67E-01	1.81E-01	1.00E+00	2.84E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 12	17.45	175.34	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Great_Valley_13_(Coalinga)	142	31.58	744.30	8.44E-01	2.17E+00	1.00E+00	2.61E+00	9.39E-01	1.83E+00	1.00E+00	2.61E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 13 (Coalinga)	31.58	744.30	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Great_Valley_14_(Kettleman_Hills)	141	24.01	922.96	9.61E-01	6.58E-01	1.00E+00	2.49E+00	1.01E+00	7.54E-01	1.00E+00	2.49E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Great Valley 14 (Kettleman Hills)	24.01	922.96	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Green_Valley_2011_CFM	623	42.99	605.24	4.56E+00	4.41E+00	4.00E+00	3.60E+00	4.56E+00	4.41E+00	4.00E+00	3.60E+00	0.63	0.66	0.79	0.90	0.63	0.66	0.79	0.90	1.00	0.93	0.90	0.50	1.00	0.93	0.90	0.50	null	null	null	null	null	null	null	null	null	null	null
Greenville_(No)_2011_CFM	636	50.53	757.00	3.46E+00	2.01E+00	3.00E+00	3.31E+00	3.41E+00	3.11E+00	3.00E+00	3.31E+00	0.30	0.90	0.40	0.32	0.30	0.40	0.40	0.32	1.00	0.50	1.00	1.00	1.00	1.00	1.00	1.00	Greenville (No)	26.55	398.22	2.00E+00	2.00E+00	2.00E+00	2.00E+00	2.00E+00	2.00E+00	0.10	1.00
Greenville_(So)_2011_CFM	635	28.98	307.60	2.52E+00	1.08E+00	3.00E+00	3.41E-01	2.14E+00	1.62E+00	3.00E+00	3.41E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Greenville (So)	23.59	353.87	2.00E+00	2.00E+00	2.00E+00	2.00E+00	2.00E+00	2.00E+00	0.10	1.00
Hartley_Springs_2011_CFM	702	22.40	409.36	6.14E-01	6.23E-01	5.00E-01	2.69E+00	6.14E-01	6.20E-01	5.00E-01	2.69E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hartley Springs	24.68	418.87	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	0.00	1.00
Hat_Creek-McArthur-Mayfield	37	105.91	1174.01	5.91E-01	5.69E-01	6.00E-01	1.24E+00	5.91E-01	5.68E-01	6.00E-01	1.24E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hat Creek-McArthur-Mayfield	96.74	1072.33	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Hayward_(No)_2011_CFM	639	53.34	597.88	9.62E+00	7.06E+00	9.00E+00	8.68E+00	9.73E+00	7.13E+00	9.00E+00	8.68E+00	0.12	0.22	0.15	0.15	0.12	0.21	0.15	0.15	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hayward (No)	34.84	418.09	9.00E+00	9.00E+00	9.00E+00	9.00E+00	9.00E+00	9.00E+00	0.40	1.00
Hayward_(So)_2011_CFM	638	54.37	750.92	9.73E+00	7.57E+00	9.00E+00	8.53E+00	9.77E+00	7.55E+00	9.00E+00	8.53E+00	0.16	0.24	0.16	0.19	0.16	0.24	0.16	0.19	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hayward (So)	52.49	629.91	9.00E+00	9.00E+00	9.00E+00	9.00E+00	9.00E+00	9.00E+00	0.40	1.00
Hayward_(So)_extension_2011_CFM	637	23.09	158.48	9.92E+00	5.90E+00	3.90E-01	8.38E+00	9.88E+00	1.37E+00	3.90E-01	8.38E+00	0.40	0.40	0.40	0.40	0.40	0.40	0.40	0.40	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Hector_Mine	167	27.90	407.27	3.89E-01	2.53E+00	3.00E-01	4.35E-01	3.67E-01	2.67E+00	3.00E-01	4.35E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Helendale-So_Lockhart	84	114.09	1460.31	8.70E-01	1.10E-01	6.00E-01	3.69E-01	8.48E-01	1.10E-01	6.00E-01	3.69E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Helendale-So Lockhart	114.09	1460.31	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	0.00	1.00
Hilton_Creek_2011_CFM	703	30.52	589.70	1.50E+00	2.20E+00	1.50E+00	2.05E+00	1.50E+00	2.20E+00	1.50E+00	2.05E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hilton Creek	29.33	497.75	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	0.00	1.00
Hollywood	108	18.99	349.67	9.71E-01	1.83E+00	9.00E-01	3.55E+00	9.53E-01	3.23E+00	9.00E-01	3.55E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hollywood	16.84	310.10	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	0.00	1.00
Holser_alt_1	228	23.10	506.68	4.24E-01	1.03E+00	4.00E-01	3.92E-01	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	"Holser, alt 1"	19.62	430.38	4.00E-01	4.00E-01	4.00E-01	null	null	null	0.00	1.00
Homestead_Valley_2011	723	45.71	726.80	5.35E-01	7.87E-01	3.90E-01	1.25E+00	4.93E-01	7.85E-01	3.90E-01	1.25E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Homestead Valley 2011	null	null	null	null	null	null	null	null	null	null
Honey_Lake_2011_CFM	704	69.65	675.62	1.79E+00	1.19E+00	2.50E+00	2.44E+00	1.82E+00	1.19E+00	2.50E+00	2.44E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Honey Lake	57.48	632.26	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	0.00	1.00
Hosgri	30	171.35	2122.74	1.02E+00	1.23E+00	2.15E+00	1.64E+00	1.43E+00	1.22E+00	2.15E+00	1.64E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hosgri	171.35	1183.13	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	0.00	1.00
Hosgri_(Extension)	208	28.65	218.21	3.92E-01	1.07E-01	6.00E-01	1.08E+00	4.65E-01	2.00E-03	6.00E-01	1.08E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Hunter_Mountain-Saline_Valley	50	76.99	954.74	2.64E+00	1.92E+00	3.50E+00	3.78E+00	2.55E+00	1.94E+00	3.50E+00	3.78E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hunter Mountain-Saline Valley	72.41	897.87	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	2.50E+00	0.00	1.00
Hunting_Creek_-_Bartlett_Springs_connector_2011	677	38.01	456.12	8.61E+00	4.74E+00	4.00E+00	7.03E+00	8.30E+00	4.71E+00	4.00E+00	7.03E+00	0.05	0.11	0.14	0.07	0.05	0.12	0.14	0.07	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Hunting_Creek_-_Berryessa_2011_CFM	640	44.44	471.08	7.27E+00	3.50E+00	4.00E+00	3.31E+00	7.08E+00	3.49E+00	4.00E+00	3.31E+00	0.13	0.45	0.34	0.49	0.13	0.45	0.34	0.49	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Hunting Creek-Berryessa	59.70	716.34	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	0.00	1.00
Imperial	97	62.37	692.80	1.32E+01	1.52E+01	1.98E+01	1.71E+01	1.33E+01	1.02E+01	1.98E+01	1.71E+01	0.15	0.10	0.05	0.09	0.15	0.20	0.05	0.09	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Imperial	45.79	675.17	2.00E+01	2.00E+01	2.00E+01	2.00E+01	2.00E+01	2.00E+01	0.10	1.00
Incline_Village_2011_CFM	678	20.32	302.37	3.07E-01	2.75E-01	3.00E-01	3.23E-01	2.90E-01	2.75E-01	3.00E-01	3.23E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Independence_rev_2011	65	75.06	1430.56	1.99E-01	4.26E-01	1.00E-01	1.00E-02	2.62E-01	4.26E-01	1.00E-01	1.00E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Independence	48.50	924.35	2.00E-01	2.00E-01	2.00E-01	2.00E-01	2.00E-01	2.00E-01	0.00	1.00
Jess_Valley	892	37.28	583.98	1.00E-02	2.89E-01	1.00E-02	2.09E-02	1.00E-02	2.86E-01	1.00E-02	2.09E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Johnson_Valley_(No)_2011_rev	91	51.99	826.69	5.35E-01	2.29E+00	3.90E-01	1.20E+00	4.93E-01	2.12E+00	3.90E-01	1.20E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Johnson Valley (No)	35.23	560.20	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	0.00	1.00
Joshua_Tree_(Seismicity)	168	17.47	232.32	2.00E-02	2.05E-01	1.00E-02	1.00E-01	1.00E-02	1.14E-01	1.00E-02	1.00E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Keddie_Ridge_2011_CFM	679	30.51	305.11	9.90E-02	1.37E+00	1.00E-02	2.14E+00	9.90E-02	1.37E+00	1.00E-02	2.14E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Kern_Canyon_(Lake_Isabella)_2011	542	35.40	596.81	2.12E-01	2.19E-01	2.00E-01	2.69E-01	2.12E-01	2.18E-01	2.00E-01	2.69E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Kern_Canyon_(North_Kern)_2011	544	52.07	877.86	1.90E-01	1.96E-01	2.00E-01	2.90E-01	1.90E-01	1.97E-01	2.00E-01	2.90E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Kern_Canyon_(South_Kern)_2011	543	48.16	811.96	2.85E-01	2.48E-01	2.00E-01	2.89E-01	2.85E-01	2.49E-01	2.00E-01	2.89E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Kickapoo	92	6.23	94.04	6.55E-01	1.36E+00	6.00E-01	1.66E+00	6.45E-01	1.44E+00	6.00E-01	1.66E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Kickapoo	null	null	null	null	null	null	null	null	null	null
King_Range_2011_CFM	680	42.09	564.36	1.00E-02	1.51E+00	1.00E-02	1.87E-02	1.00E-02	1.18E+00	1.00E-02	1.87E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
La_Panza_2011	641	71.94	1286.69	1.00E-01	2.39E-01	1.00E-02	9.72E-10	1.06E-01	2.83E-01	1.00E-02	9.72E-10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
